Name,Rows,Cols,Nonzeros,Given Optimal Value,Gurobi Optimal Value,matched
25fv47,822,1571,11127,5501.8458883,5501.845888286749,1
80bau3b,2263,9799,29063,987232.16072,987224.19240909,0
adlittle,57,97,465,225494.96316,225494.96316238018,0
afiro,28,32,88,-464.75314286,-464.75314285714285,1
agg,489,163,2541,-35991767.287,-35991767.28657649,0
agg2,517,302,4515,-20239252.356,-20239252.35597711,0
agg3,517,302,4531,10312115.935,10312115.935089221,0
bandm,306,472,2659,-158.62801845,-158.62801845012086,1
beaconfd,174,262,3476,33592.485807,33592.4858072,1
blend,75,83,521,-30.81214985,-30.812149845828245,1
bnl1,644,1175,6129,1977.6292856,1977.6295615228867,0
bnl2,2325,3489,16124,1811.2365404,1811.236540358548,1
boeing1,351,384,3865,-335.21356751,-335.21356750712704,1
boeing2,167,143,1339,-315.01872802,-315.0187280152028,1
bore3d,234,315,1525,1373.0803942,1373.0803942084926,1
brandy,221,249,2150,1518.5098965,1518.5098964881286,1
capri,272,353,1786,2690.0129138,2690.0129137681606,1
cycle,1904,2857,21322,-5.22639302,-5.226393024894102,1
czprob,930,3523,14173,2185196.6989,2185196.698856578,0
d2q06c,2172,5167,35674,122784.23615,122784.2108141894,0
d6cube,416,6184,43888,315.49166667,315.4916666668518,1
degen2,445,534,4449,-1435.178,-1435.178,1
degen3,1504,1818,26230,-987.294,-987.2940000000006,1
dfl001,6072,12230,41873,11266400.0,11266396.046671383,0
e226,224,282,2767,-18.75192907,-11.638929066370533,0
etamacro,401,688,2489,-755.71521774,-755.7152332061538,0
fffff800,525,854,6235,555679.61165,555679.5648174963,0
finnis,498,614,2714,172790.96547,172791.0655956116,0
fit1d,25,1026,14430,-9146.3780924,-9146.378092420928,1
fit1p,628,1677,10894,9146.3780924,9146.378092420935,1
fit2d,26,10500,138018,-68464.293294,-68464.2932938321,1
fit2p,3001,13525,60784,68464.293232,68464.29329383216,0
forplan,162,421,4916,-664.21873953,-1163.9157686858075,0
ganges,1310,1681,7021,-109586.36356,-109585.73612927784,0
gfrd-pnc,617,1092,3467,6902235.9995,6902235.999548811,0
greenbea,2393,5405,31499,-72462405.908,-72555248.12984598,0
greenbeb,2393,5405,31499,-4302147.6065,-4302260.261206586,0
grow15,301,645,5665,-106870941.29,-106870941.29357545,0
grow22,441,946,8318,-160834336.48,-160834336.48256195,0
grow7,141,301,2633,-47787811.815,-47787811.8147115,0
israel,175,142,2358,-896644.82186,-896644.8218630459,0
kb2,44,41,291,-1749.9001299,-1749.9001299062058,1
lotfi,154,308,1086,-25.26470606,-25.264706061880005,1
maros-r7,3137,9408,151120,1497185.1665,1497185.166479643,0
maros,847,1443,10006,-58063.743701,-58063.743701125924,1
modszk1,688,1620,4158,320.61972906,320.6197290642391,1
nesm,663,2923,13988,14076073.035,14076036.48756274,0
perold,626,1376,6026,-9380.7580773,-9380.755278235018,0
pilot.ja,941,1988,14706,-6113.1344111,-6113.136465581414,0
pilot,1442,3652,43220,-557.40430007,-557.4897293010814,0
pilot.we,723,2789,9218,-2720102.7439,-2720107.5328449644,0
pilot4,411,1000,5145,-2581.1392641,-2581.1392595638863,0
pilot87,2031,4883,73804,301.71072827,301.710347333065,0
pilotnov,976,2172,13129,-4497.2761882,-4497.2761882188715,1
recipe,92,180,752,-266.616,-266.61600000000027,1
sc105,106,103,281,-52.20206121,-52.20206121170723,1
sc205,206,203,552,-52.20206121,-52.20206121170724,1
sc50a,51,48,131,-64.57507706,-64.5750770585645,1
sc50b,51,48,119,-70.0,-69.99999999999999,1
scagr25,472,500,2029,-14753433.061,-14753433.060768532,0
scagr7,130,140,553,-2331389.2548,-2331389.824330984,0
scfxm1,331,457,2612,18416.759028,18416.759028348944,1
scfxm2,661,914,5229,36660.261565,36660.26156499881,1
scfxm3,991,1371,7846,54901.25455,54901.25454975145,1
scorpion,389,358,1708,1878.1248227,1878.1248227381068,1
scrs8,491,1169,4029,904.29998619,904.296953800792,0
scsd1,78,760,3148,8.66666667,8.666666674333367,1
scsd6,148,1350,5666,50.50000008,50.500000078262374,1
scsd8,398,2750,11334,904.99999993,904.9999999254644,1
sctap1,301,480,2052,1412.25,1412.2499999999998,1
sctap2,1091,1880,8124,1724.8071429,1724.807142857143,1
sctap3,1481,2480,10734,1424.0,1424.0,1
seba,516,1028,4874,15711.6,15711.6,1
share1b,118,225,1182,-76589.318579,-76589.31857918571,1
share2b,97,79,730,-415.73224074,-415.73224074141984,1
shell,537,1775,4900,1208825346.0,1208825346.0,1
ship04l,403,2118,8450,1793324.538,1793324.537970356,0
ship04s,403,1458,5810,1798714.7004,1798714.7004453917,0
ship08l,779,4283,17085,1909055.2114,1909055.2113891307,0
ship08s,779,2387,9501,1920098.2105,1920098.2105346182,0
ship12l,1152,5427,21597,1470187.9193,1470187.919329266,0
ship12s,1152,2763,10941,1489236.1344,1489236.1344061329,0
sierra,1228,2036,9252,15394362.184,15394362.183631925,0
stair,357,467,3857,-251.26695119,-251.26695119296295,1
standata,360,1075,3038,1257.6995,1257.6995,1
standmps,468,1075,3686,1406.0175,1406.0175,1
stocfor1,118,111,474,-41131.976219,-41131.9762194364,1
stocfor2,2158,2031,9492,-39024.408538,-39024.40853788211,1
truss,1001,8806,36642,458815.84719,458815.8471856167,0
tuff,334,587,4523,0.29214777,0.2921477650936128,1
vtp.base,199,203,914,129831.46246,129831.46246136133,0
wood1p,245,2594,70216,1.44290241,1.4429024115734093,1
woodw,1099,8405,37478,1.30447633,1.3044763330842295,1
