Name,Rows,Cols,Nonzeros,Bytes,BR,Optimal Value
25fv47,822,1571,11127,70477,,5501.84588830
80bau3b,2263,9799,29063,298952,B,987232.16072000
adlittle,57,97,465,3690,,225494.96316000
afiro,28,32,88,794,,-464.75314286
agg,489,163,2541,21865,,-35991767.28700000
agg2,517,302,4515,32552,,-20239252.35600000
agg3,517,302,4531,32570,,10312115.93500000
bandm,306,472,2659,19460,,-158.62801845
beaconfd,174,262,3476,17475,,33592.48580700
blend,75,83,521,3227,,-30.81214985
bnl1,644,1175,6129,42473,,1977.62928560
bnl2,2325,3489,16124,127145,,1811.23654040
boeing1,351,384,3865,25315,BR,-335.21356751
boeing2,167,143,1339,8761,BR,-315.01872802
bore3d,234,315,1525,13160,B,1373.08039420
brandy,221,249,2150,14028,,1518.50989650
capri,272,353,1786,15267,B,2690.01291380
cycle,1904,2857,21322,166648,B,-5.22639302
czprob,930,3523,14173,92202,B,2185196.69890000
d2q06c,2172,5167,35674,258038,,122784.23615000
d6cube,416,6184,43888,167633,B,315.49166667
degen2,445,534,4449,24657,,-1435.17800000
degen3,1504,1818,26230,130252,,-987.29400000
dfl001,6072,12230,41873,353192,B,11266400.00000000
e226,224,282,2767,17749,,-18.75192907
etamacro,401,688,2489,21915,B,-755.71521774
fffff800,525,854,6235,39637,,555679.61165000
finnis,498,614,2714,23847,B,172790.96547000
fit1d,25,1026,14430,51734,B,-9146.37809240
fit1p,628,1677,10894,65116,B,9146.37809240
fit2d,26,10500,138018,482330,B,-68464.29329400
fit2p,3001,13525,60784,439794,B,68464.29323200
forplan,162,421,4916,25100,BR,-664.21873953
ganges,1310,1681,7021,60191,B,-109586.36356000
gfrd-pnc,617,1092,3467,24476,B,6902235.99950000
greenbea,2393,5405,31499,235711,B,-72462405.90800000
greenbeb,2393,5405,31499,235739,B,-4302147.60650000
grow15,301,645,5665,35041,B,-106870941.29000000
grow22,441,946,8318,50789,B,-160834336.48000000
grow7,141,301,2633,17043,B,-47787811.81500000
israel,175,142,2358,12109,,-896644.82186000
kb2,44,41,291,2526,B,-1749.90012990
lotfi,154,308,1086,6718,,-25.26470606
maros,847,1443,10006,65906,B,-58063.74370100
maros-r7,3137,9408,151120,4812587,,1497185.16650000
modszk1,688,1620,4158,40908,B,320.61972906
nesm,663,2923,13988,117828,BR,14076073.03500000
perold,626,1376,6026,47486,B,-9380.75807730
pilot,1442,3652,43220,278593,B,-557.40430007
pilot.ja,941,1988,14706,97258,B,-6113.13441110
pilot.we,723,2789,9218,79972,B,-2720102.74390000
pilot4,411,1000,5145,40936,B,-2581.13926410
pilot87,2031,4883,73804,514192,B,301.71072827
pilotnov,976,2172,13129,89779,B,-4497.27618820
qap8,913,1632,8304,(see NOTES),,203.50000000
qap12,3193,8856,44244,(see NOTES),,522.89435056
qap15,6331,22275,110700,(see NOTES),,1040.99404100
recipe,92,180,752,6210,B,-266.61600000
sc105,106,103,281,3307,,-52.20206121
sc205,206,203,552,6380,,-52.20206121
sc50a,51,48,131,1615,,-64.57507706
sc50b,51,48,119,1567,,-70.00000000
scagr25,472,500,2029,17406,,-14753433.06100000
scagr7,130,140,553,4953,,-2331389.25480000
scfxm1,331,457,2612,19078,,18416.75902800
scfxm2,661,914,5229,37079,,36660.26156500
scfxm3,991,1371,7846,53828,,54901.25455000
scorpion,389,358,1708,12186,,1878.12482270
scrs8,491,1169,4029,36760,,904.29998619
scsd1,78,760,3148,17852,,8.66666667
scsd6,148,1350,5666,32161,,50.50000008
scsd8,398,2750,11334,65888,,904.99999993
sctap1,301,480,2052,14970,,1412.25000000
sctap2,1091,1880,8124,57479,,1724.80714290
sctap3,1481,2480,10734,78688,,1424.00000000
seba,516,1028,4874,38627,BR,15711.60000000
share1b,118,225,1182,8380,,-76589.31857900
share2b,97,79,730,4795,,-415.73224074
shell,537,1775,4900,38049,B,1208825346.00000000
ship04l,403,2118,8450,57203,,1793324.53800000
ship04s,403,1458,5810,41257,,1798714.70040000
ship08l,779,4283,17085,117083,,1909055.21140000
ship08s,779,2387,9501,70093,,1920098.21050000
ship12l,1152,5427,21597,146753,,1470187.91930000
ship12s,1152,2763,10941,82527,,1489236.13440000
sierra,1228,2036,9252,76627,B,15394362.18400000
stair,357,467,3857,27405,B,-251.26695119
standata,360,1075,3038,26135,B,1257.69950000
standmps,468,1075,3686,29839,B,1406.01750000
stocfor1,118,111,474,4247,,-41131.97621900
stocfor2,2158,2031,9492,79845,,-39024.40853800
stocfor3,16676,15695,74004,(see NOTES),,-39976.66157600
truss,1001,8806,36642,(see NOTES),,458815.84719000
tuff,334,587,4523,29439,B,0.29214777
vtp.base,199,203,914,8175,B,129831.46246000
wood1p,245,2594,70216,328905,,1.44290241
woodw,1099,8405,37478,240063,,1.30447633
